粘性,钝度,二维,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,来流马赫数,喉道高度,喉道马赫数,流量系数,总压恢复系数,比阻,内收缩比,总收缩比,捕获流量
0,0,1,4.845,12.126,15.9,2,4,198.907,2.221,1,0.879,141.7,1.611,3.978,16.8
0,0,1,4.845,12.126,15.9,0,4,198.907,2.198,1,0.847,145.4,1.611,3.978,16.8
0,0,1,5.845,9.126,15.9,10.9,4,198.907,2.247,1,0.922,134.6,1.609,3.978,16.8
0,0,1,5.845,9.126,15.9,8.406,4,198.907,2.253,1,0.932,134.6,1.609,3.978,16.8
0,0,1,5.845,9.126,15.9,6,4,198.907,2.249,1,0.924,136.1,1.609,3.978,16.8
0,0,1,5.845,9.126,15.9,4,4,198.907,2.238,1,0.906,138.4,1.609,3.978,16.8
0,0,1,5.845,9.126,15.9,2,4,198.907,2.221,1,0.88,141.6,1.609,3.978,16.8
0,0,1,5.845,9.126,15.9,0,4,198.907,2.199,1,0.848,145.3,1.609,3.978,16.8
0,0,1,5.845,10.126,15.9,10.9,4,198.907,2.248,1,0.926,134.4,1.607,3.978,16.8
0,0,1,5.845,10.126,15.9,8.406,4,198.907,2.255,1,0.935,134.2,1.607,3.978,16.8
0,0,1,5.845,10.126,15.9,6,4,198.907,2.251,1,0.927,135.9,1.607,3.978,16.8
0,0,1,5.845,10.126,15.9,4,4,198.907,2.24,1,0.91,138.2,1.607,3.978,16.8
0,0,1,5.845,10.126,15.9,2,4,198.907,2.223,1,0.884,141.3,1.607,3.978,16.8
0,0,1,5.845,10.126,15.9,0,4,198.907,2.2,1,0.851,145.1,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,10.9,4,198.907,2.249,1,0.926,134.4,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,8.406,4,198.907,2.255,1,0.935,134.2,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,6,4,198.907,2.251,1,0.927,135.8,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,4,4,198.907,2.24,1,0.91,138.2,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,2,4,198.907,2.223,1,0.884,141.3,1.607,3.978,16.8
0,0,1,5.845,11.126,15.9,0,4,198.907,2.201,1,0.851,145.1,1.607,3.978,16.8
0,0,1,5.845,12.126,15.9,10.9,4,198.907,2.247,1,0.923,134.5,1.61,3.978,16.8
0,0,1,5.845,12.126,15.9,8.406,4,198.907,2.254,1,0.932,134.5,1.61,3.978,16.8
0,0,1,5.845,12.126,15.9,6,4,198.907,2.25,1,0.924,136,1.61,3.978,16.8
0,0,1,5.845,12.126,15.9,4,4,198.907,2.239,1,0.907,138.4,1.61,3.978,16.8
0,0,1,5.845,12.126,15.9,2,4,198.907,2.222,1,0.881,141.5,1.61,3.978,16.8
0,0,1,5.845,12.126,15.9,0,4,198.907,2.199,1,0.849,145.2,1.61,3.978,16.8
0,0,1,6.845,10.126,15.9,10.9,4,198.907,2.246,1,0.92,134.8,1.612,3.978,16.8
0,0,1,6.845,10.126,15.9,8.406,4,198.907,2.252,1,0.929,134.7,1.612,3.978,16.8
0,0,1,6.845,10.126,15.9,6,4,198.907,2.248,1,0.921,136.3,1.612,3.978,16.8
0,0,1,6.845,10.126,15.9,4,4,198.907,2.237,1,0.904,138.5,1.612,3.978,16.8
0,0,1,6.845,10.126,15.9,2,4,198.907,2.22,1,0.878,141.7,1.612,3.978,16.8
0,0,1,6.845,10.126,15.9,0,4,198.907,2.198,1,0.846,145.4,1.612,3.978,16.8
0,0,1,6.845,11.126,15.9,10.9,4,198.907,2.247,1,0.921,134.7,1.611,3.978,16.8
0,0,1,6.845,11.126,15.9,8.406,4,198.907,2.253,1,0.931,134.6,1.611,3.978,16.8
0,0,1,6.845,11.126,15.9,6,4,198.907,2.249,1,0.923,136.1,1.611,3.978,16.8
0,0,1,6.845,11.126,15.9,4,4,198.907,2.238,1,0.905,138.4,1.611,3.978,16.8
0,0,1,6.845,11.126,15.9,2,4,198.907,2.221,1,0.879,141.6,1.611,3.978,16.8
0,0,1,6.845,11.126,15.9,0,4,198.907,2.199,1,0.847,145.3,1.611,3.978,16.8
0,0,1,6.845,12.126,15.9,10.9,4,198.907,2.246,1,0.92,134.8,1.612,3.978,16.8
0,0,1,6.845,12.126,15.9,8.406,4,198.907,2.253,1,0.93,134.6,1.612,3.978,16.8
0,0,1,6.845,12.126,15.9,6,4,198.907,2.249,1,0.922,136.2,1.612,3.978,16.8
0,0,1,6.845,12.126,15.9,4,4,198.907,2.238,1,0.904,138.5,1.612,3.978,16.8
0,0,1,6.845,12.126,15.9,2,4,198.907,2.221,1,0.878,141.7,1.612,3.978,16.8
0,0,1,2.7,7.878,15.6,10.6,5,245.496,2.731,1,0.875,138.2,1.626,4.91,16.5
0,0,1,2.7,7.878,15.6,8.288,5,245.496,2.74,1,0.887,138.6,1.626,4.91,16.5
0,0,1,2.7,7.878,15.6,6,5,245.496,2.734,1,0.876,141.4,1.626,4.91,16.5
0,0,1,2.7,7.878,15.6,4,5,245.496,2.718,1,0.851,145.5,1.626,4.91,16.5
0,0,1,2.7,7.878,15.6,2,5,245.496,2.693,1,0.815,150.8,1.626,4.91,16.5
0,0,1,2.7,7.878,15.6,0,5,245.496,2.66,1,0.77,156.9,1.626,4.91,16.5
0,0,1,2.7,8.878,15.6,10.6,5,245.496,2.733,1,0.878,137.9,1.624,4.91,16.5
0,0,1,2.7,8.878,15.6,8.288,5,245.496,2.742,1,0.89,138.3,1.624,4.91,16.5
0,0,1,2.7,8.878,15.6,6,5,245.496,2.736,1,0.879,141.1,1.624,4.91,16.5
0,0,1,2.7,8.878,15.6,4,5,245.496,2.72,1,0.854,145.3,1.624,4.91,16.5
0,0,1,2.7,8.878,15.6,2,5,245.496,2.695,1,0.817,150.6,1.624,4.91,16.5
0,0,1,2.7,8.878,15.6,0,5,245.496,2.662,1,0.773,156.7,1.624,4.91,16.5
0,0,1,2.7,9.878,15.6,10.6,5,245.496,2.732,1,0.873,138.2,1.629,4.91,16.5
0,0,1,2.7,9.878,15.6,8.288,5,245.496,2.741,1,0.886,138.6,1.629,4.91,16.5
0,0,1,2.7,9.878,15.6,6,5,245.496,2.735,1,0.875,141.4,1.629,4.91,16.5
0,0,1,2.7,9.878,15.6,4,5,245.496,2.719,1,0.85,145.5,1.629,4.91,16.5
0,0,1,2.7,9.878,15.6,2,5,245.496,2.694,1,0.813,150.8,1.629,4.91,16.5
0,0,1,2.7,9.878,15.6,0,5,245.496,2.661,1,0.769,156.9,1.629,4.91,16.5
0,0,1,3.7,7.878,15.6,10.6,5,245.496,2.733,1,0.878,138,1.622,4.91,16.5
0,0,1,3.7,7.878,15.6,8.288,5,245.496,2.742,1,0.891,138.3,1.622,4.91,16.5
0,0,1,3.7,7.878,15.6,6,5,245.496,2.736,1,0.88,141.2,1.622,4.91,16.5
0,0,1,3.7,7.878,15.6,4,5,245.496,2.72,1,0.854,145.3,1.622,4.91,16.5
0,0,1,3.7,7.878,15.6,2,5,245.496,2.695,1,0.818,150.6,1.622,4.91,16.5
0,0,1,3.7,7.878,15.6,0,5,245.496,2.662,1,0.773,156.7,1.622,4.91,16.5
0,0,1,3.7,8.878,15.6,10.6,5,245.496,2.737,1,0.885,137.4,1.618,4.91,16.5
0,0,1,3.7,8.878,15.6,8.288,5,245.496,2.745,1,0.897,137.8,1.618,4.91,16.5
0,0,1,3.7,8.878,15.6,6,5,245.496,2.74,1,0.886,140.7,1.618,4.91,16.5
0,0,1,3.7,8.878,15.6,4,5,245.496,2.724,1,0.861,144.8,1.618,4.91,16.5
0,0,1,3.7,8.878,15.6,2,5,245.496,2.698,1,0.824,150.1,1.618,4.91,16.5
0,0,1,3.7,8.878,15.6,0,5,245.496,2.665,1,0.779,156.3,1.618,4.91,16.5
0,0,1,3.7,9.878,15.6,10.6,5,245.496,2.737,1,0.884,137.3,1.619,4.91,16.5
0,0,1,3.7,9.878,15.6,8.288,5,245.496,2.746,1,0.897,137.7,1.619,4.91,16.5
0,0,1,3.7,9.878,15.6,6,5,245.496,2.74,1,0.886,140.6,1.619,4.91,16.5
0,0,1,3.7,9.878,15.6,4,5,245.496,2.724,1,0.86,144.8,1.619,4.91,16.5
0,0,1,3.7,9.878,15.6,2,5,245.496,2.699,1,0.823,150.1,1.619,4.91,16.5
0,0,1,3.7,9.878,15.6,0,5,245.496,2.665,1,0.778,156.3,1.619,4.91,16.5
0,0,1,3.7,10.878,15.6,10.6,5,245.496,2.734,1,0.878,137.9,1.625,4.91,16.5
0,0,1,3.7,10.878,15.6,8.288,5,245.496,2.743,1,0.89,138.3,1.625,4.91,16.5
0,0,1,3.7,10.878,15.6,6,5,245.496,2.737,1,0.879,141.1,1.625,4.91,16.5
